订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
266170127728,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
254450690237,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
254450690237,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999
254406313174,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
254407814052,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
254219808661,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
266114204270,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
228811777226,日本代购新谷酵素夜迟减肥,399,2,456026429033,,,,卖家已发货，等待买家确认,456026429033
266100464345,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,等待买家付款,931177059169
266081487348,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,等待买家付款,931177059169
266048403449,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
254145112402,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261
228793438409,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
228791918374,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010
254100912323,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易关闭,498704921251
266137702384,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
266045321080,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265915323005,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,尽快发货，谢谢！,卖家已发货，等待买家确认,456026429338
266003725097,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033
266003205038,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265983665396,日本fancl美白丸全身,204,1,490804934732,,,,等待买家付款,490804934732
254130449909,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
253985628976,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338
253965212960,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265930005106,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
228722497446,日本fancl美白丸全身,204,1,490804934732,,,,等待买家付款,490804934732
228622016693,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
228622016693,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233
265834080033,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
228719178200,美国进口普利普莱叶黄素软,176,1,74312149047,,,,卖家已发货，等待买家确认,74312149047
265809127066,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338
265809127066,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033
253915228349,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
254050849577,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010
265808644418,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732
254067530975,swisse胶原蛋白片澳,169,1,931177058821,,,,卖家已发货，等待买家确认,931177058821
254067530975,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731
254068170017,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732
