,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码,订单编号
0,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2275384196096941
1,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2276907388423551
2,swisse护肝片 澳洲,170,1,931177058999,,,,卖家已发货，等待买家确认,931177058999,2617354071874934
3,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2617574653055516
4,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2616376477105814
5,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2615689633214163
6,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2616347415817710
7,日本代购新谷酵素夜迟减肥,399,2,456026429033,,,,卖家已发货，等待买家确认,456026429033,2504992497933582
8,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,等待买家付款,931177059169,2503187759404661
9,澳洲蔓越莓胶囊30粒sw,175,1,931177059169,,,,等待买家付款,931177059169,2271561765668249
10,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2499620955871565
11,KAWAI 鱼肝油钙丸 ,238,1,498704921261,,,,卖家已发货，等待买家确认,498704921261,2270320591754558
12,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2499217304531595
13,美国进口普利普莱叶黄素软,329,1,ecms-tz-0010,,,,买家已付款，等待卖家发货,ecms-tz-0010,2497922104742584
14,日本kawai卡哇伊肝油,259,1,498704921251,,,,交易关闭,498704921251,2606464068568716
15,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2497709505992487
16,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2270274987955747
17,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,尽快发货，谢谢！,卖家已发货，等待买家确认,456026429338,2493632154326464
18,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033,2602061837377810
19,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2603788466408520
20,日本fancl美白丸全身,204,1,490804934732,,,,等待买家付款,490804934732,2600452231933612
21,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2599160042092724
22,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2596056805157803
23,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2266881163268556
24,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2591108666889831
25,日本fancl美白丸全身,204,1,490804934732,,,,等待买家付款,490804934732,2589080277229639
26,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2589072049976315
27,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2587509831104107
28,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2589216860873517
29,美国进口普利普莱叶黄素软,176,1,74312149047,,,,卖家已发货，等待买家确认,74312149047,2263878168985254
30,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2264637173203744
31,日本代购新谷酵素夜迟减肥,399,1,456026429033,,,,卖家已发货，等待买家确认,456026429033,2585709635072401
32,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2477193937391273
33,日本FANCL/芳珂 H,398,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2475291744103169
34,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2261676966569350
35,swisse胶原蛋白片澳,169,1,931177058821,,,,卖家已发货，等待买家确认,931177058821,2580235603789107
36,swisse葡萄籽皙颜美,260,1,931177059731,,,,卖家已发货，等待买家确认,931177059731,2262291187511245
37,日本fancl美白丸全身,204,1,490804934732,,,,交易关闭,490804934732,2578556636726506
38,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2579469856076218
39,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2578830258891229
40,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2259941191123249
41,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2469989349602272
42,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341,2464525927975161
43,asana G6消腩 丸,240,1,489517460012,,,,卖家已发货，等待买家确认,489517460012,2573649655799337
44,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2464396097119187
45,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2463869506289496
46,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2570659640763719
47,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2462326954662373
